scenario_name,scenario_type,changed_parameter,change_value,v2g_connection_cost,capex_multipliers,optimization_status,sample_space_rows_start,raw_lcoe,carbon_adjusted_lcoe,carbon_cost_per_mwh,total_carbon_cost,pass_count,total_runs,BL_installed_mw,wind_installed_mw,solar_installed_mw,Grid_Store_Max,battery_power_mw,factor_v2g,charge_rate,total_installed_generation_mw,total_grid_power_mwh,demand_total_mwh,curtailment_mwh,curtailment_twh,grid_storage_used_mwh,v2g_used_mwh,solar_generation_mwh,wind_generation_mwh,nuclear_generation_mwh,battery_used_mwh
baseline,baseline,none,0,2000,{},valid_solution,4250,87.68655138,91.6908087,4.004257321,1287557326,10,10,20000,60000,30000,10000,2500,0.5,0.0475,122281,321547099.3,3.88E+08,30342391.3,30.3423913,1,1112387.595,66081622.44,125778978.6,144657197.5,1
wind_capex_-20%,capex,wind_capex,-0.2,2000,{'wind': 0.8},valid_solution,4250,84.22898166,88.26388198,4.034900319,1287704631,10,10,20000,60000,30000,10000,2500,0.5,0.0475,122281,319141621.8,3.85E+08,30851915.61,30.85191561,1,1206250.916,65937831.36,126279548.7,144624933.1,1
wind_capex_-10%,capex,wind_capex,-0.1,2000,{'wind': 0.9},valid_solution,4250,85.9504159,89.9539056,4.003489704,1287631174,10,10,20000,60000,30000,10000,2500,0.5,0.0475,122281,321627197.6,3.88E+08,29884264.26,29.88426426,1,1213658.088,66283319.66,125231724.7,144702146.3,1
wind_capex_+10%,capex,wind_capex,0.1,2000,{'wind': 1.1},valid_solution,4250,88.51358904,92.55671914,4.0431301,1280362580,10,10,20000,60000,30000,10000,2500,0.5,0.0475,92281,316676077.3,3.86E+08,22463050.16,22.46305016,5594.211593,636295.8238,66143090.57,41517813.59,217064506.8,5594.211593
wind_capex_+20%,capex,wind_capex,0.2,2000,{'wind': 1.2},valid_solution,4250,89.38087454,93.42197727,4.041102728,1281081543,10,10,20000,60000,30000,10000,2500,0.5,0.0475,92281,317012862.4,3.86E+08,22577314.21,22.57731421,1,783793.2894,66075643.96,42033082.18,216972854.8,1
solar_capex_-20%,capex,solar_capex,-0.2,2000,{'solar': 0.8},valid_solution,4250,85.21995254,90.10182552,4.881872978,1542576770,10,10,20000,60000,30000,10000,2500,0.5,0.0475,122281,315980521.7,3.88E+08,38474972.94,38.47497294,779.4529573,2241264.524,110058185.2,83673373.7,144665075.7,779.4529573
solar_capex_-10%,capex,solar_capex,-0.1,2000,{'solar': 0.9},valid_solution,4250,85.94302966,90.35334196,4.4103123,1407874362,10,10,20000,60000,30000,10000,2500,0.5,0.0475,107281,319223280.8,3.88E+08,28316706.33,28.31670633,1,1324007.453,87918913.36,62631309.5,180783075.8,1
solar_capex_+10%,capex,solar_capex,0.1,2000,{'solar': 1.1},valid_solution,4250,88.0704444,91.65577689,3.58533249,1150822175,10,10,20000,60000,30000,10000,2500,0.5,0.0475,92281,320980600.4,3.88E+08,18043980.38,18.04398038,3468.296529,501088.7465,43926740.59,62806920,216902811.5,3468.296529
solar_capex_+20%,capex,solar_capex,0.2,2000,{'solar': 1.2},valid_solution,4250,88.56092388,92.14272681,3.581802933,1153924811,10,10,20000,60000,30000,10000,2500,0.5,0.0475,92281,322163120.7,3.89E+08,18385371.6,18.3853716,1,488043.7049,44119271.82,63049751.16,217077446.2,1
nuclear_capex_-20%,capex,nuclear_capex,-0.2,2000,{'nuclear': 0.8},valid_solution,4250,80.83846392,84.86559862,4.027134701,1279970017,10,10,20000,60000,30000,10000,2500,0.5,0.0475,92281,317836405.4,3.87E+08,22169274.22,22.16927422,3423.57367,853108.6387,65921762.3,41968464.23,217017803,3423.57367
nuclear_capex_-10%,capex,nuclear_capex,-0.1,2000,{'nuclear': 0.9},valid_solution,4250,84.1368205,87.73126997,3.594449468,1154840415,10,10,20000,60000,30000,10000,2500,0.5,0.0475,92281,321284365,3.87E+08,18764022.21,18.76402221,1,568507.6308,44216451.78,63218282.2,217008418.7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,